split,seed,episode,difficulty,step,gain,score_std,diversity,stagnation,hazard,cumulative_hazard,oracle_value,oracle_action
calibration,101,1,EASY,16,0.0,0.12818190448971956,0.21999547101449277,1,0.1646795779187057,3.0760147128564603,0.030516975308641905,CONTINUE
calibration,101,1,EASY,32,0.0,0.15935366108719728,0.20176630434782608,15,0.864947976904728,12.488342248036329,-0.015625,STOP
calibration,101,1,MEDIUM,4,0.032228915662650515,0.09782148450988892,0.3431838768115942,0,0.107004157483431,0.5847880183371379,0.19302522590361448,CONTINUE
calibration,101,1,MEDIUM,8,0.009939759036144524,0.11749672999072425,0.24354619565217392,0,0.12628190080042292,1.32526812131686,0.13781061746987944,CONTINUE
calibration,101,1,MEDIUM,16,0.0,0.13702446888440492,0.21705163043478262,5,0.3471748030014524,3.6054036624773307,0.011841114457831339,CONTINUE
calibration,101,1,MEDIUM,32,0.01716867469879524,0.1749829122977615,0.2073143115942029,0,0.11887393155343552,9.681652368060437,0.007925451807228943,CONTINUE
calibration,101,1,RUGGED,4,0.015697674418604812,0.06689552484193595,0.43908514492753625,0,0.10930614592528348,0.6768523877677093,0.2622093023255813,CONTINUE
calibration,101,1,RUGGED,8,0.09011627906976738,0.09997883553182264,0.3443161231884058,0,0.08204563048327544,1.3497797199042463,0.10478742732558141,CONTINUE
calibration,101,1,RUGGED,16,0.006976744186046324,0.11572378060015559,0.1983695652173913,0,0.13329640079506386,3.2757958296567944,0.053797238372093104,CONTINUE
calibration,101,1,RUGGED,32,0.020058139534883668,0.1515170898353528,0.2218070652173913,0,0.11879214216956598,8.081561396220803,0.057430959302325627,CONTINUE
calibration,101,2,EASY,4,0.012654320987654288,0.07598094905751218,0.23120471014492755,0,0.13174085466250915,0.6525381614195667,0.22858796296296308,CONTINUE
calibration,101,2,EASY,8,0.033333333333333326,0.09702048385935275,0.2271286231884058,0,0.11813407012798827,1.4513328216013672,0.15021219135802483,CONTINUE
calibration,101,2,EASY,16,0.0,0.14927639654228558,0.2416213768115942,1,0.1583238032008489,3.179080172348805,0.020978009259259314,CONTINUE
calibration,101,2,EASY,32,0.0,0.16011233146983261,0.18829257246376813,6,0.40602382470024156,9.275481713690613,-0.01462191358024691,STOP
calibration,101,2,MEDIUM,4,0.009939759036144635,0.07448027665698773,0.23120471014492755,0,0.13350934634503578,0.65660903900466,0.21299887048192778,CONTINUE
calibration,101,2,MEDIUM,8,0.02379518072289155,0.09516548982616312,0.24150815217391305,0,0.12188681348429173,1.4517661966138726,0.12338102409638554,CONTINUE
calibration,101,2,MEDIUM,16,0.01957831325301196,0.144241200085258,0.25,0,0.11701759081992912,3.3352432049081298,0.04266754518072298,CONTINUE
calibration,101,2,MEDIUM,32,0.0,0.1558941044487125,0.2151268115942029,6,0.40078394437248044,7.926985067657082,-0.01479668674698795,STOP
calibration,101,2,RUGGED,4,0.06395348837209314,0.07937615496908135,0.22192028985507245,0,0.10555803565035729,0.6187434280239784,0.11150981104651164,CONTINUE
calibration,101,2,RUGGED,8,0.0,0.09178883282514738,0.23528079710144928,2,0.20661894199051956,1.6210317955328208,0.14603015988372103,CONTINUE
calibration,101,2,RUGGED,16,0.0,0.18271245441389408,0.2642663043478261,1,0.15013772727047187,3.4499875755506393,-0.015625,STOP
calibration,101,2,RUGGED,32,0.0,0.1565010822732379,0.24603713768115942,17,0.9102067171058275,14.313213822118064,-0.01315406976744185,STOP
calibration,101,3,EASY,4,0.0,0.09130354770206837,0.3979846014492754,1,0.1470975937917026,0.6968094546351694,0.2164448302469138,CONTINUE
calibration,101,3,EASY,8,0.01388888888888884,0.14147798192383884,0.267776268115942,0,0.11847052001574046,1.3638378139441967,0.06741898148148151,CONTINUE
calibration,101,3,EASY,16,0.012654320987654288,0.15177999297111136,0.22724184782608695,0,0.1221045950012068,3.113396696064669,0.019859182098765332,CONTINUE
calibration,101,3,EASY,32,0.0,0.1816080187786764,0.16802536231884058,15,0.8657677312026986,12.400479422050635,-0.015625,STOP
calibration,101,3,MEDIUM,4,0.0,0.08751647913718089,0.3979846014492754,1,0.14766865891393927,0.6993308339251515,0.2152014307228916,CONTINUE
